0x00000002	initial_setting
0x00030000	patchbay.1-2
0x00030001	patchbay.3-4
0x00030002	patchbay.5-6
0x00030003	patchbay.7-8
0x00030004	patchbay.9-10
0x00040000	reverb.type
0x00040101	reverb.echo.pre_delay
0x00040102	reverb.echo.time
0x00040201	reverb.room.pre_delay
0x00040202	reverb.room.time
0x00040301	reverb.small_hall.pre_delay
0x00040302	reverb.small_hall.time
0x00040401	reverb.large_hall.pre_delay
0x00040402	reverb.large_hall.time
0x00040501	reverb.plate.pre_delay
0x00040502	reverb.plate.time
0x00050000	preamp.channel.1.+48
0x00050001	preamp.channel.1.lo-cut
0x00050002	preamp.channel.1.phase
0x00050003	preamp.channel.1.hi-z
0x00050004	preamp.channel.1.sens
0x00050005	preamp.channel.1.stereo
0x00050006	preamp.channel.1.bypass
0x00050007	preamp.channel.1.gate
0x00050008	preamp.channel.1.attack
0x00050009	preamp.channel.1.release
0x0005000a	preamp.channel.1.threshold
0x0005000b	preamp.channel.1.ratio
0x0005000c	preamp.channel.1.gain
0x0005000d	preamp.channel.1.knee
0x00050100	preamp.channel.2.+48
0x00050101	preamp.channel.2.lo-cut
0x00050102	preamp.channel.2.phase
0x00050103	preamp.channel.2.hi-z
0x00050104	preamp.channel.2.sens
0x00050105	preamp.channel.2.stereo
0x00050106	preamp.channel.2.bypass
0x00050107	preamp.channel.2.gate
0x00050108	preamp.channel.2.attack
0x00050109	preamp.channel.2.release
0x0005010a	preamp.channel.2.threshold
0x0005010b	preamp.channel.2.ratio
0x0005010c	preamp.channel.2.gain
0x0005010d	preamp.channel.2.knee
0x00050200	preamp.channel.3.+48
0x00050201	preamp.channel.3.lo-cut
0x00050202	preamp.channel.3.phase
0x00050204	preamp.channel.3.sens
0x00050205	preamp.channel.3.stereo
0x00050206	preamp.channel.3.bypass
0x00050207	preamp.channel.3.gate
0x00050208	preamp.channel.3.attack
0x00050209	preamp.channel.3.release
0x0005020a	preamp.channel.3.threshold
0x0005020b	preamp.channel.3.ratio
0x0005020c	preamp.channel.3.gain
0x0005020d	preamp.channel.3.knee
0x00050300	preamp.channel.4.+48
0x00050301	preamp.channel.4.lo-cut
0x00050302	preamp.channel.4.phase
0x00050304	preamp.channel.4.sens
0x00050305	preamp.channel.4.stereo
0x00050306	preamp.channel.4.bypass
0x00050307	preamp.channel.4.gate
0x00050308	preamp.channel.4.attack
0x00050309	preamp.channel.4.release
