"No.","Time","Source","Direction","Direction","bRequest","wValue","bAlternateSetting","wInterface","wLength","CONTROL response data","Text item","bString","bInterfaceClass","Leftover Capture Data","Info"
"18077","4.220899","16.9.0","Host-to-device","OUT","SET INTERFACE","","0","2","0","","â\234\223","","","","SET INTERFACE Request"
"18078","4.220923","16.9.0","","OUT","","","","","","","","","","","SET INTERFACE Response"
"18079","4.220972","16.9.0","Device-to-host","IN","3","0x0002","","","1","","â\234\223","","","","URB_CONTROL in (submitted)"
"18080","4.221139","16.9.0","","IN","","","","","","01","","","","","URB_CONTROL in (completed)"
"18081","4.221383","16.9.0","Host-to-device","OUT","SET INTERFACE","","0","1","0","","â\234\223","","","","SET INTERFACE Request"
"18082","4.221403","16.9.0","","OUT","","","","","","","","","","","SET INTERFACE Response"
"18083","4.221434","16.9.0","Device-to-host","IN","3","0x0002","","","1","","â\234\223","","","","URB_CONTROL in (submitted)"
"18084","4.221600","16.9.0","","IN","","","","","","01","","","","","URB_CONTROL in (completed)"
"18091","4.224982","16.9.0","Host-to-device","OUT","3","0x0008","","","4","","â\234\223","","","","URB_CONTROL out (submitted)"
"18092","4.225139","16.9.0","","OUT","","","","","","4000ee02","","","","","URB_CONTROL out (completed)"
"18093","4.225177","16.9.0","Device-to-host","IN","3","0x0001","","","4","","â\234\223","","","","URB_CONTROL in (submitted)"
"18094","4.225324","16.9.0","","IN","","","","","","00ee0201","","","","","URB_CONTROL in (completed)"
"18121","4.426372","16.9.0","Device-to-host","IN","3","0x0001","","","4","","â\234\223","","","","URB_CONTROL in (submitted)"
"18122","4.426573","16.9.0","","IN","","","","","","00ee0200","","","","","URB_CONTROL in (completed)"
"18135","4.451077","16.9.0","Host-to-device","OUT","SET INTERFACE","","0","2","0","","â\234\223","","","","SET INTERFACE Request"
"18136","4.451098","16.9.0","","OUT","","","","","","","","","","","SET INTERFACE Response"
"18137","4.451124","16.9.0","Host-to-device","OUT","SET INTERFACE","","4","2","0","","â\234\223","","","","SET INTERFACE Request"
"18138","4.451148","16.9.0","","OUT","","","","","","","","","","","SET INTERFACE Response"
"18139","4.451190","16.9.0","Device-to-host","IN","3","0x0002","","","1","","â\234\223","","","","URB_CONTROL in (submitted)"
"18140","4.451385","16.9.0","","IN","","","","","","01","","","","","URB_CONTROL in (completed)"
"18141","4.451418","16.9.0","Host-to-device","OUT","SET INTERFACE","","0","1","0","","â\234\223","","","","SET INTERFACE Request"
"18142","4.451440","16.9.0","","OUT","","","","","","","","","","","SET INTERFACE Response"
"18143","4.451464","16.9.0","Host-to-device","OUT","SET INTERFACE","","4","1","0","","â\234\223","","","","SET INTERFACE Request"
"18144","4.451483","16.9.0","","OUT","","","","","","","","","","","SET INTERFACE Response"
"18145","4.451527","16.9.0","Device-to-host","IN","3","0x0002","","","1","","â\234\223","","","","URB_CONTROL in (submitted)"
"18146","4.451737","16.9.0","","IN","","","","","","01","","","","","URB_CONTROL in (completed)"
