"No.","Time","Source","Direction","Direction","bRequest","wValue","bAlternateSetting","wInterface","wLength","CONTROL response data","Info"
"1","0.000000","16.7.0","Host-to-device","OUT","SET INTERFACE","","0","2","0","","SET INTERFACE Request"
"2","0.000018","16.7.0","","OUT","","","","","","","SET INTERFACE Response"
"3","0.000061","16.7.0","Device-to-host","IN","3","0x0002","","","1","","URB_CONTROL in (submitted)"
"4","0.000229","16.7.0","","IN","","","","","","01","URB_CONTROL in (completed)"
"5","0.000422","16.7.0","Host-to-device","OUT","SET INTERFACE","","0","1","0","","SET INTERFACE Request"
"6","0.000440","16.7.0","","OUT","","","","","","","SET INTERFACE Response"
"7","0.000468","16.7.0","Device-to-host","IN","3","0x0002","","","1","","URB_CONTROL in (submitted)"
"8","0.000620","16.7.0","","IN","","","","","","01","URB_CONTROL in (completed)"
"9","0.003518","16.7.0","Host-to-device","OUT","3","0x0008","","","4","","URB_CONTROL out (submitted)"
"10","0.003721","16.7.0","","OUT","","","","","","4080bb00","URB_CONTROL out (completed)"
"11","0.003804","16.7.0","Device-to-host","IN","3","0x0001","","","4","","URB_CONTROL in (submitted)"
"12","0.004034","16.7.0","","IN","","","","","","80bb0001","URB_CONTROL in (completed)"
"13","0.205167","16.7.0","Device-to-host","IN","3","0x0001","","","4","","URB_CONTROL in (submitted)"
"14","0.205343","16.7.0","","IN","","","","","","80bb0000","URB_CONTROL in (completed)"
"15","0.224491","16.7.0","Host-to-device","OUT","SET INTERFACE","","0","2","0","","SET INTERFACE Request"
"16","0.224510","16.7.0","","OUT","","","","","","","SET INTERFACE Response"
"17","0.224535","16.7.0","Host-to-device","OUT","SET INTERFACE","","2","2","0","","SET INTERFACE Request"
"18","0.224555","16.7.0","","OUT","","","","","","","SET INTERFACE Response"
"19","0.224603","16.7.0","Device-to-host","IN","3","0x0002","","","1","","URB_CONTROL in (submitted)"
"20","0.224746","16.7.0","","IN","","","","","","01","URB_CONTROL in (completed)"
"21","0.224779","16.7.0","Host-to-device","OUT","SET INTERFACE","","0","1","0","","SET INTERFACE Request"
"22","0.224797","16.7.0","","OUT","","","","","","","SET INTERFACE Response"
"23","0.224820","16.7.0","Host-to-device","OUT","SET INTERFACE","","2","1","0","","SET INTERFACE Request"
"24","0.224839","16.7.0","","OUT","","","","","","","SET INTERFACE Response"
"25","0.224880","16.7.0","Device-to-host","IN","3","0x0002","","","1","","URB_CONTROL in (submitted)"
"26","0.225033","16.7.0","","IN","","","","","","01","URB_CONTROL in (completed)"
